structure_weight,field_weight,canonical_exact_match,root_entity_accuracy,p95_ms
0.3,0.8,0.16964285714285715,0.9642857142857143,35.27416799988714
0.3,1.0,0.17857142857142858,0.9642857142857143,35.58021199933137
0.3,1.2,0.17857142857142858,0.9642857142857143,36.216133998095756
0.3,1.5,0.17857142857142858,0.9642857142857143,36.10763699907693
0.3,2.0,0.17857142857142858,0.9642857142857143,33.34994699980598
0.4,0.8,0.16964285714285715,0.9642857142857143,35.795687002973864
0.4,1.0,0.17857142857142858,0.9642857142857143,37.43936600221787
0.4,1.2,0.17857142857142858,0.9642857142857143,35.62543199950596
0.4,1.5,0.17857142857142858,0.9642857142857143,36.075581003387924
0.4,2.0,0.17857142857142858,0.9642857142857143,37.00522900180658
0.5,0.8,0.16964285714285715,0.9642857142857143,36.94584900222253
0.5,1.0,0.17857142857142858,0.9642857142857143,36.95397800038336
0.5,1.2,0.17857142857142858,0.9642857142857143,36.242810001567705
0.5,1.5,0.17857142857142858,0.9642857142857143,35.64448099859874
0.5,2.0,0.17857142857142858,0.9642857142857143,36.901598003169056
0.6,0.8,0.16964285714285715,0.9642857142857143,36.46973099966999
0.6,1.0,0.17857142857142858,0.9642857142857143,37.89807000066503
0.6,1.2,0.17857142857142858,0.9642857142857143,35.904595999454614
0.6,1.5,0.17857142857142858,0.9642857142857143,34.66540000226814
0.6,2.0,0.17857142857142858,0.9642857142857143,35.70889900220209
0.7,0.8,0.16964285714285715,0.9642857142857143,39.2778579989681
0.7,1.0,0.17857142857142858,0.9642857142857143,37.32901799958199
0.7,1.2,0.17857142857142858,0.9642857142857143,36.96909000063897
0.7,1.5,0.17857142857142858,0.9642857142857143,38.823574999696575
0.7,2.0,0.17857142857142858,0.9642857142857143,36.53831699921284
